security :1
seem :7
seeds :1
seed :1
seek :3
seeking :1
seeling :1
seems :5
selfcomparisons :1
seen :6
seize :2
seest :1
self :2
selfabuse :1
sennights :1
selfsame :2
sennet :1
send :6
sell :1
sent :4
senses :4
sense :2
sensible :1
sentinel :1
separated :1
servant :13
serpent :2
serious :1
set :8
service :4
servants :4
serve :2
served :1
sewer :1
settled :1
sets :1
setting :2
seven :1
seventh :1
several :2
shall :67
shakes :1
shake :7
shaft :1
shadow :3
shade :1
seytoni :1
shadows :1
shaghaird :1
shaking :1
showd :2
shook :1
shipwrecking :1
shipmans :1
shalt :7
shine :3
sharp :1
shame :4
